corpus,sample_id,AWC,CTC,CVC,cds.min,ID.h,ID.N,aclew_id,Row,ChiID,chi_gender,adu_univ,AgeMonths,mat_ed,number_older_sibs,mother_dob,mat_ed_num,mat_ed_num3,n_sibs,agem.c,age.bin,age.qrt,cds.minph,cds.minph.lg,ads.minph,ads.min,prp.cds
Bergelson,B-16,17907,257,684,1.9413333333333334,0.15033333333333335,20,2779,29,16,male,yes,16,AD,0,32,5,3,0,5.163934426229508,1,3,12.913525498891351,2.6328614244973063,3.5044345898004434,0.5268333333333334,0.7865487203727463
Bergelson,B-17,20677,895,2266,4.209,0.2125,20,8688,31,17,female,yes,16,AD,1,36,5,3,1,5.163934426229508,1,3,19.80705882352941,3.035292295651318,0,0,1
Bergelson,B-18,36100,612,1590,2.0378333333333334,0.17466666666666666,20,9230,33,18,male,no,10,SC,1,37,3,1,1,-0.8360655737704921,0,2,11.666984732824428,2.538998981229152,6.731870229007633,1.1758333333333333,0.6341147183902085
Bergelson,B-19,31351,910,1639,4.094,0.29816666666666664,20,8786,35,19,female,yes,12,BA,0,27,4,2,0,1.163934426229508,1,3,13.73057574063723,2.689925315972553,14.481274455002797,4.317833333333334,0.48669532999148024
Bergelson,B-20,30411,703,1468,3.5444999999999998,0.21133333333333335,19,3340,37,20,female,no,16,SC,0,29,3,1,0,5.163934426229508,1,3,16.772082018927442,2.877628800127577,9.447160883280755,1.9965,0.6396859772604223
Bergelson,B-21,18748,437,1983,2.8131666666666666,0.22233333333333333,18,0980,39,21,male,yes,6,AD,0,32,5,3,0,-4.836065573770492,0,2,12.652923538230885,2.6139536773229746,19.500749625187407,4.335666666666667,0.3935140932086821
Bergelson,B-22,15549,386,1958,0.9266666666666666,0.1425,20,2197,41,22,female,yes,16,BA,0,35,4,2,0,5.163934426229508,1,3,6.502923976608187,2.0152928081129766,10.782456140350877,1.5365,0.3762094864334529
Bergelson,B-23,14871,453,2174,1.8873333333333333,0.2568333333333333,20,9077,43,23,male,no,8,SC,4,34,3,1,2,-2.836065573770492,0,2,7.348475016223232,2.1220788893957288,5.336145360155744,1.3705,0.579321635033509
Bergelson,B-25,2872,151,1373,0.8935,0.11666666666666667,20,7965,45,25,male,yes,15,BA,0,27,4,2,0,4.163934426229508,1,3,7.658571428571428,2.1585497469078803,2.597142857142857,0.303,0.746761387379858
Bergelson,B-26,11719,186,794,2.3245,0.1525,20,6586,47,26,female,no,11,SC,1,31,3,1,1,0.16393442622950793,0,2,15.242622950819673,2.787638833441893,0.28524590163934427,0.0435,0.9816300675675674
Bergelson,B-27,20716,729,1672,2.4335,0.12966666666666665,20,4989,49,27,male,yes,14,AD,0,42,5,3,0,3.163934426229508,1,3,18.767352185089976,2.984031697261532,0.5051413881748072,0.0655,0.9737895158063224
